i,x,y,department,seniority,role,data_issue
EMP_0033,122,12000,IT,Junior,Developer,ERROR: Impossibly high (decimal/aggregation error)
EMP_0078,1756,6800,Analytics,Mid,Data_Engineer,ERROR: Impossibly high (decimal/aggregation error)
EMP_0556,606,8500,Analytics,Junior,Data_Engineer,ERROR: Impossibly high (decimal/aggregation error)
EMP_0281,19500,5,IT,Senior,Infrastructure,ERROR: Impossibly long tenure (date entry error)
EMP_0575,22000,16,IT,Mid,Infrastructure,ERROR: Impossibly long tenure (date entry error)
EMP_0362,1117,-15,Analytics,Mid,Analyst,ERROR: Negative commits (data pipeline bug)
EMP_0333,133,-8,Analytics,Junior,Analyst,ERROR: Negative commits (data pipeline bug)
EMP_0570,-120,6,IT,Mid,DevOps,ERROR: Negative tenure (date calculation error)
EMP_0156,207,154,IT,Junior,Developer,EXTREME: High commits for junior (real: internal transfer from other division)
EMP_0140,5,242,IT,Junior,Infrastructure,EXTREME: High commits for junior (real: internal transfer from other division)
EMP_0394,56,248,Analytics,Junior,Data_Engineer,EXTREME: High commits for junior (real: internal transfer from other division)
EMP_0425,352,159,IT,Junior,Developer,EXTREME: High commits for junior (real: internal transfer from other division)
EMP_0418,109,230,IT,Junior,Infrastructure,EXTREME: High commits for junior (real: internal transfer from other division)
EMP_0316,1699,92,IT,Mid,Infrastructure,"EXTREME: High for infrastructure (real: IaC enthusiast, everything in Git)"
EMP_0037,633,103,IT,Junior,Infrastructure,"EXTREME: High for infrastructure (real: IaC enthusiast, everything in Git)"
EMP_0196,1489,106,IT,Mid,Infrastructure,"EXTREME: High for infrastructure (real: IaC enthusiast, everything in Git)"
EMP_0319,1717,75,IT,Mid,Infrastructure,"EXTREME: High for infrastructure (real: IaC enthusiast, everything in Git)"
EMP_0400,2575,108,IT,Senior,Infrastructure,"EXTREME: High for infrastructure (real: IaC enthusiast, everything in Git)"
EMP_0410,1223,326,IT,Mid,Developer,EXTREME: Very high commits (possible: bot-assisted or granular style)
EMP_0412,1190,350,IT,Mid,Developer,EXTREME: Very high commits (possible: bot-assisted or granular style)
EMP_0011,1228,361,Analytics,Mid,Data_Engineer,EXTREME: Very high commits (possible: bot-assisted or granular style)
EMP_0440,1484,282,IT,Mid,Developer,EXTREME: Very high commits (possible: bot-assisted or granular style)
